sample_sizes,mc_errors
10,4567.552649790978
16,3412.9842275055557
25,2596.65211832413
41,2065.4027980485107
67,1629.0644330624093
108,1177.9047796238704
174,870.1440400513794
280,689.6403602084551
452,555.6468294055518
727,441.69282848781165
1172,352.46903586945183
1887,286.1791776881851
3039,227.7076716811501
4893,179.40030964759674
7880,140.3479225171035
12689,110.93877667413568
20433,87.625577088567
32903,69.60850271073457
52983,54.957525240633686
85316,43.099916963787216
137382,33.83083743669594
221221,26.673248548686665
356224,20.991395747484543
573615,16.523393684575886
923670,13.035507643899594
1487352,10.26796218827676
2395026,8.086487703820836
3856620,6.368133131356816
6210169,5.0159286289182
10000000,3.953998841717809
